Gene,GO_ID,GO_term
AT1G01010,GO:0006355,regulation of DNA-templated transcription
AT1G01020,GO:0006506,GPI anchor biosynthetic process
AT1G01020,GO:0006665,sphingolipid metabolic process
AT1G01020,GO:0016125,sterol metabolic process
AT1G01020,GO:0032366,intracellular sterol transport
AT1G01030,GO:0006355,regulation of DNA-templated transcription
AT1G01030,GO:0009908,flower development
AT1G01030,GO:0048366,leaf development
AT1G01030,GO:0048480,stigma development
AT1G01030,GO:0160109,plant gross anatomical part developmental process
AT1G01030,GO:1901371,regulation of leaf morphogenesis
AT1G01040,GO:0000911,cytokinesis by cell plate formation
AT1G01040,GO:0006364,rRNA processing
AT1G01040,GO:0006396,RNA processing
AT1G01040,GO:0009616,RNAi-mediated antiviral immune response
AT1G01040,GO:0009880,embryonic pattern specification
AT1G01040,GO:0009908,flower development
AT1G01040,GO:0010228,vegetative to reproductive phase transition of meristem
AT1G01040,GO:0010267,ta-siRNA processing
AT1G01040,GO:0010599,lsiRNA processing
AT1G01040,GO:0030422,siRNA processing
AT1G01040,GO:0031053,primary miRNA processing
AT1G01040,GO:0035196,miRNA processing
AT1G01040,GO:0035279,miRNA-mediated gene silencing by mRNA destabilization
AT1G01040,GO:0048317,seed morphogenesis
AT1G01040,GO:2000034,regulation of seed maturation
AT1G01046,,
AT1G01050,GO:0005985,sucrose metabolic process
AT1G01050,GO:0006796,phosphate-containing compound metabolic process
AT1G01050,GO:0010581,regulation of starch biosynthetic process
AT1G01050,GO:0019915,lipid storage
AT1G01050,GO:0042546,cell wall biogenesis
AT1G01060,GO:0006355,regulation of DNA-templated transcription
AT1G01060,GO:0007623,circadian rhythm
AT1G01060,GO:0009409,response to cold
AT1G01060,GO:0010468,regulation of gene expression
AT1G01060,GO:0042752,regulation of circadian rhythm
AT1G01060,GO:0042754,negative regulation of circadian rhythm
AT1G01060,GO:0048574,"long-day photoperiodism, flowering"
AT1G01070,GO:0006868,L-glutamine transport
AT1G01070,GO:0048316,seed development
AT1G01070,GO:0055085,transmembrane transport
AT1G01080,GO:1901259,chloroplast rRNA processing
AT1G01090,GO:0006086,pyruvate decarboxylation to acetyl-CoA
AT1G01100,GO:0002181,cytoplasmic translation
AT1G01100,GO:0006414,translational elongation
AT1G01100,GO:0042742,defense response to bacterium
AT1G01110,,
AT1G01120,GO:0000038,very long-chain fatty acid metabolic process
AT1G01120,GO:0006633,fatty acid biosynthetic process
AT1G01120,GO:0009409,response to cold
AT1G01120,GO:0009416,response to light stimulus
AT1G01120,GO:0010025,wax biosynthetic process
AT1G01120,GO:0030497,fatty acid elongation
AT1G01120,GO:0042761,very long-chain fatty acid biosynthetic process
AT1G01120,GO:0070417,cellular response to cold
AT1G01120,GO:0160062,cutin-based cuticle development
AT1G01130,,
AT1G01140,GO:0007165,signal transduction
AT1G01140,GO:0009409,response to cold
AT1G01140,GO:0009611,response to wounding
AT1G01140,GO:0009651,response to salt stress
AT1G01140,GO:0010555,response to mannitol
AT1G01140,GO:0043266,regulation of potassium ion transport
AT1G01140,GO:0051365,cellular response to potassium ion starvation
AT1G01140,GO:0055075,potassium ion homeostasis
AT1G01150,GO:0008150,biological_process
AT1G01160,GO:0040029,epigenetic regulation of gene expression
AT1G01160,GO:0045787,positive regulation of cell cycle
AT1G01160,GO:0045893,positive regulation of DNA-templated transcription
AT1G01160,GO:0048366,leaf development
AT1G01170,GO:0008150,biological_process
AT1G01180,,
AT1G01183,,
AT1G01190,GO:0009791,post-embryonic development
AT1G01190,GO:0048608,reproductive structure development
AT1G01190,GO:0048731,system development
AT1G01200,GO:0042546,cell wall biogenesis
AT1G01210,GO:0006351,DNA-templated transcription
AT1G01210,GO:0006355,regulation of DNA-templated transcription
AT1G01210,GO:0006386,termination of RNA polymerase III transcription
AT1G01220,GO:0042352,GDP-L-fucose salvage
AT1G01225,,
AT1G01230,GO:0006979,response to oxidative stress
AT1G01230,GO:0010150,leaf senescence
AT1G01230,GO:0030148,sphingolipid biosynthetic process
AT1G01230,GO:0034976,response to endoplasmic reticulum stress
AT1G01230,GO:0042742,defense response to bacterium
AT1G01230,GO:0090156,intracellular sphingolipid homeostasis
AT1G01240,,
AT1G01250,GO:0006355,regulation of DNA-templated transcription
AT1G01260,GO:0006355,regulation of DNA-templated transcription
AT1G01260,GO:0010629,negative regulation of gene expression
AT1G01270,,
AT1G01280,GO:0002933,lipid hydroxylation
AT1G01280,GO:0006629,lipid metabolic process
AT1G01280,GO:0009555,pollen development
AT1G01280,GO:0010208,pollen wall assembly
AT1G01280,GO:0010584,pollen exine formation
AT1G01280,GO:0051791,medium-chain fatty acid metabolic process
AT1G01280,GO:0051792,medium-chain fatty acid biosynthetic process
AT1G01280,GO:0080110,sporopollenin biosynthetic process
AT1G01290,GO:0006777,Mo-molybdopterin cofactor biosynthetic process
AT1G01300,GO:0006508,proteolysis
AT1G01305,GO:0008150,biological_process
AT1G01310,,
AT1G01320,GO:0010906,regulation of glucose metabolic process
AT1G01320,GO:0019750,chloroplast localization
AT1G01335,GO:0010930,negative regulation of auxin mediated signaling pathway
AT1G01335,GO:0048364,root development
AT1G01340,GO:0006811,monoatomic ion transport
AT1G01340,GO:0006874,intracellular calcium ion homeostasis
AT1G01340,GO:0006952,defense response
AT1G01340,GO:0009617,response to bacterium
AT1G01340,GO:0034220,monoatomic ion transmembrane transport
AT1G01340,GO:0051592,response to calcium ion
AT1G01340,GO:0055085,transmembrane transport
AT1G01340,GO:0070588,calcium ion transmembrane transport
AT1G01350,GO:0000398,"mRNA splicing, via spliceosome"
AT1G01355,GO:0010468,regulation of gene expression
AT1G01360,GO:0009738,abscisic acid-activated signaling pathway
AT1G01370,GO:0007080,mitotic metaphase chromosome alignment
AT1G01370,GO:0009567,double fertilization forming a zygote and endosperm
AT1G01370,GO:0034080,CENP-A containing chromatin assembly
AT1G01370,GO:0051301,cell division
AT1G01370,GO:0051307,meiotic chromosome separation
AT1G01370,GO:0051321,meiotic cell cycle
AT1G01370,GO:0051382,kinetochore assembly
AT1G01380,GO:0006355,regulation of DNA-templated transcription
AT1G01380,GO:0009653,anatomical structure morphogenesis
AT1G01380,GO:0030154,cell differentiation
AT1G01380,GO:0048731,system development
AT1G01380,GO:0080147,root hair cell development
AT1G01380,GO:0090558,plant epidermis development
AT1G01380,GO:0090627,plant epidermal cell differentiation
AT1G01380,GO:1900033,negative regulation of trichome patterning
AT1G01390,,
AT1G01400,GO:0008150,biological_process
AT1G01410,GO:0010608,post-transcriptional regulation of gene expression
AT1G01420,,
AT1G01430,,
AT1G01440,GO:1900150,regulation of defense response to fungus
AT1G01448,GO:0008150,biological_process
AT1G01450,GO:0007165,signal transduction
AT1G01450,GO:0098542,defense response to other organism
AT1G01453,GO:0098542,defense response to other organism
AT1G01460,GO:0046488,phosphatidylinositol metabolic process
AT1G01460,GO:0046854,phosphatidylinositol phosphate biosynthetic process
AT1G01470,GO:0006950,response to stress
AT1G01470,GO:0009269,response to desiccation
AT1G01470,GO:0009611,response to wounding
AT1G01470,GO:0009644,response to high light intensity
AT1G01470,GO:0050832,defense response to fungus
AT1G01480,GO:0006520,amino acid metabolic process
AT1G01480,GO:0009414,response to water deprivation
AT1G01480,GO:0009693,ethylene biosynthetic process
AT1G01490,,
AT1G01500,,
AT1G01510,GO:0000226,microtubule cytoskeleton organization
AT1G01510,GO:0006970,response to osmotic stress
AT1G01510,GO:0007097,nuclear migration
AT1G01510,GO:0008360,regulation of cell shape
AT1G01510,GO:0009651,response to salt stress
AT1G01510,GO:0009965,leaf morphogenesis
AT1G01510,GO:0010091,trichome branching
AT1G01510,GO:0010482,regulation of epidermal cell division
AT1G01510,GO:0031129,inductive cell-cell signaling
AT1G01510,GO:0034063,cytoplasmic stress granule assembly
AT1G01510,GO:0042814,monopolar cell growth
AT1G01510,GO:0045604,regulation of epidermal cell differentiation
AT1G01510,GO:0045892,negative regulation of DNA-templated transcription
AT1G01510,GO:0048444,floral organ morphogenesis
AT1G01510,GO:0048530,fruit morphogenesis
AT1G01510,GO:0048826,cotyledon morphogenesis
AT1G01510,GO:2000039,regulation of trichome morphogenesis
AT1G01520,GO:0006355,regulation of DNA-templated transcription
AT1G01520,GO:0010468,regulation of gene expression
AT1G01530,GO:0006357,regulation of transcription by RNA polymerase II
AT1G01530,GO:0009911,positive regulation of flower development
AT1G01530,GO:0045944,positive regulation of transcription by RNA polymerase II
AT1G01540,GO:0046777,protein autophosphorylation
AT1G01550,GO:0009793,embryo development ending in seed dormancy
AT1G01550,GO:0048364,root development
AT1G01550,GO:0048367,shoot system development
AT1G01560,GO:0000165,MAPK cascade
AT1G01560,GO:0007165,signal transduction
AT1G01560,GO:0009737,response to abscisic acid
AT1G01560,GO:0035556,intracellular signal transduction
AT1G01570,,
AT1G01580,GO:0009617,response to bacterium
AT1G01580,GO:0033214,siderophore-iron import into cell
AT1G01580,GO:0060586,multicellular organismal-level iron ion homeostasis
AT1G01590,GO:0033214,siderophore-iron import into cell
