biological_sample,environment,age,genotype,replicate,UMAP1,UMAP2
"Ground Control, 4 days old, Col-0 Rep1",Ground,4,Col-0,Rep1,14.719118,-0.30933076
"Ground Control, 4 days old, Col-0 Rep2",Ground,4,Col-0,Rep2,15.036846,-0.17104949
"Ground Control, 4 days old, Col-0 Rep3",Ground,4,Col-0,Rep3,14.795865,-0.78558004
"Ground Control, 4 days old, Col-0 Rep4",Ground,4,Col-0,Rep4,15.136685,-0.5793858
"Spaceflight, 4 days old, Col-0 Rep1",Spaceflight,4,Col-0,Rep1,15.526118,-1.1241099
"Spaceflight, 4 days old, Col-0 Rep2",Spaceflight,4,Col-0,Rep2,15.696466,-0.79326355
"Spaceflight, 4 days old, Col-0 Rep3",Spaceflight,4,Col-0,Rep3,16.047611,-1.135375
"Spaceflight, 4 days old, Col-0 Rep4",Spaceflight,4,Col-0,Rep4,16.156605,-0.56746274
"Ground Control, 4 days old, WS Rep1",Ground,4,WS,Rep1,-3.6477642,1.9531307
"Ground Control, 4 days old, WS Rep2",Ground,4,WS,Rep2,-4.374882,1.4192004
"Ground Control, 4 days old, WS Rep3",Ground,4,WS,Rep3,-4.0501156,1.4522847
"Ground Control, 4 days old, WS Rep4",Ground,4,WS,Rep4,-3.60136,1.7017804
"Spaceflight, 4 days old, WS Rep1",Spaceflight,4,WS,Rep1,-4.2554502,2.2948217
"Spaceflight, 4 days old, WS Rep2",Spaceflight,4,WS,Rep2,-4.9261913,1.6655958
"Spaceflight, 4 days old, WS Rep3",Spaceflight,4,WS,Rep3,-4.8000684,2.1275752
"Spaceflight, 4 days old, WS Rep4",Spaceflight,4,WS,Rep4,-4.30129,2.0284271
"Ground Control, 8 days old, Col-0 Rep1",Ground,8,Col-0,Rep1,10.444579,-3.8879502
"Ground Control, 8 days old, Col-0 Rep2",Ground,8,Col-0,Rep2,10.801473,-4.1331706
"Ground Control, 8 days old, Col-0 Rep3",Ground,8,Col-0,Rep3,11.324791,-4.034218
"Ground Control, 8 days old, Col-0 Rep4",Ground,8,Col-0,Rep4,10.6979065,-3.658041
"Spaceflight, 8 days old, Col-0 Rep1",Spaceflight,8,Col-0,Rep1,10.223416,-4.5811605
"Spaceflight, 8 days old, Col-0 Rep2",Spaceflight,8,Col-0,Rep2,10.124693,-4.857158
"Spaceflight, 8 days old, Col-0 Rep3",Spaceflight,8,Col-0,Rep3,10.58023,-4.8048644
"Spaceflight, 8 days old, Col-0 Rep4",Spaceflight,8,Col-0,Rep4,9.905194,-4.359018
"Ground Control, 8 days old, WS Rep1",Ground,8,WS,Rep1,-6.639075,3.9246068
"Ground Control, 8 days old, WS Rep2",Ground,8,WS,Rep2,-6.257836,4.262017
"Ground Control, 8 days old, WS Rep3",Ground,8,WS,Rep3,-5.9527774,4.0881596
"Ground Control, 8 days old, WS Rep4",Ground,8,WS,Rep4,-6.321718,3.8416712
"Spaceflight, 8 days old, WS Rep1",Spaceflight,8,WS,Rep1,-5.5055914,3.1388717
"Spaceflight, 8 days old, WS Rep2",Spaceflight,8,WS,Rep2,-5.484393,3.6322713
"Spaceflight, 8 days old, WS Rep3",Spaceflight,8,WS,Rep3,-5.109456,2.9530733
"Spaceflight, 8 days old, WS Rep4",Spaceflight,8,WS,Rep4,-5.7898135,2.873154
