Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT4G18422,4.0179641458183335,6.19161828746899,-2.1736541416506565,3.077362956620352e-08,0.0009942651976544694,True,3.00249776196428
AT5G26070,4.125531304559481,6.355828431398387,-2.230297126838906,2.5473745383862894e-07,0.004115156198036131,True,2.38561367572322
AT1G07460,0.8598201078533194,3.241312636607591,-2.381492528754271,6.287298648745216e-07,0.006771211068076973,True,2.1693336484278825
AT5G22300,4.3192466898266995,0.7032154773788137,3.6160312124478855,1.5700843454447193e-06,0.008454642519495572,True,2.072904750584584
AT1G62190,2.939763229942587,0.5839829203536806,2.3557803095889063,1.459032156153781e-06,0.008454642519495572,True,2.072904750584584
AT4G15480,6.064909349304108,7.6380094450358875,-1.5731000957317791,1.4233057326069595e-06,0.008454642519495572,True,2.072904750584584
AT5G42180,8.968305585188192,10.46055537813268,-1.492249792944488,6.12586844544204e-06,0.010275611842923003,True,1.9881923093940652
AT4G04840,8.151953470923926,9.57347397018278,-1.421520499258854,2.4391694739401236e-06,0.010275611842923003,True,1.9881923093940652
AT1G80340,6.150818846576371,7.8334254537425885,-1.6826066071662176,6.360835583226348e-06,0.010275611842923003,True,1.9881923093940652
AT1G30750,8.913323252177623,10.545563079480512,-1.6322398273028895,3.920292402780892e-06,0.010275611842923003,True,1.9881923093940652
AT5G54790,6.561138973437178,8.004313192217202,-1.4431742187800243,6.024714820633032e-06,0.010275611842923003,True,1.9881923093940652
AT3G17130,4.58824268252805,6.167311142095589,-1.579068459567539,3.943633416326881e-06,0.010275611842923003,True,1.9881923093940652
AT5G54470,4.210988922267475,5.819402917191643,-1.6084139949241676,3.6653854004075068e-06,0.010275611842923003,True,1.9881923093940652
AT5G66390,8.924738178831042,10.472042141810466,-1.5473039629794236,5.538620493172296e-06,0.010275611842923003,True,1.9881923093940652
AT3G21560,8.195013388909064,9.59749649792534,-1.4024831090162753,5.003170226029253e-06,0.010275611842923003,True,1.9881923093940652
AT2G32300,8.425502526890073,9.782189688028454,-1.3566871611383817,4.779507452395867e-06,0.010275611842923003,True,1.9881923093940652
AT3G22620,10.254682974441023,11.687848169587467,-1.4331651951464437,4.19898675045293e-06,0.010275611842923003,True,1.9881923093940652
AT3G55230,9.261492849815031,10.89208471818406,-1.630591868369029,2.7254347484354393e-06,0.010275611842923003,True,1.9881923093940652
AT2G36100,9.527233789689786,11.148078772026135,-1.620844982336349,3.288717910399953e-06,0.010275611842923003,True,1.9881923093940652
AT4G15248,5.166555899065243,7.144247880975341,-1.9776919819100973,5.4269633810410505e-06,0.010275611842923003,True,1.9881923093940652
AT3G24020,8.0679663618,9.574529795969735,-1.5065634341697347,7.412136093412968e-06,0.011403747859146645,True,1.942952393659302
AT2G39430,7.905415459510458,9.580040538269413,-1.6746250787589556,8.53695115925076e-06,0.012537288863828763,True,1.901796367713994
AT5G47450,8.409035071021664,10.148878018386274,-1.7398429473646093,9.597822394147487e-06,0.01292066848885463,True,1.8887150162549948
AT4G14690,7.6805448498867985,9.415473006029767,-1.7349281561429688,9.36302957997895e-06,0.01292066848885463,True,1.8887150162549948
AT3G52740,8.800849330439158,10.271495675946776,-1.4706463455076175,1.061891122942473e-05,0.013195630881210906,True,1.8795698413909676
AT5G45870,3.222781305049398,4.948046896877145,-1.7252655918277466,1.0542738571253183e-05,0.013195630881210906,True,1.8795698413909676
AT3G22840,7.590702547713611,9.257754908090691,-1.6670523603770802,1.1407218170307843e-05,0.013522472839755972,True,1.868943882176965
AT5G13900,8.529496229046453,9.96316978392628,-1.4336735548798263,1.2332071386822807e-05,0.013522472839755972,True,1.868943882176965
AT2G27370,7.812846874162452,9.189399257074038,-1.3765523829115862,1.1933516857638085e-05,0.013522472839755972,True,1.868943882176965
AT3G22600,11.23573512480801,12.561824365882687,-1.326089241074678,1.2556073700599807e-05,0.013522472839755972,True,1.868943882176965
AT4G12545,11.017400499534553,12.562080577011924,-1.5446800774773717,1.3818430693857183e-05,0.014401925073801024,True,1.8415794528318241
