term_id,term_name,methods_tested,methods_significant,significant_fraction,wilcoxon_tested,gprofiler_tested,wilcoxon_gene_set_size,wilcoxon_effect_difference,wilcoxon_p_value,wilcoxon_adjusted_p_value,wilcoxon_significant,gprofiler_term_size,gprofiler_intersection_size,gprofiler_p_value,gprofiler_significant
GO:0009834,plant-type secondary cell wall biogenesis,1,1,1.0,True,False,80.0,-0.0471454267255533,1.1787490636620392e-10,6.679578027418223e-09,True,,,,
GO:2000652,regulation of secondary cell wall biogenesis,1,1,1.0,True,False,28.0,-0.0348397956282078,7.131837189637846e-05,0.0008361464291299,True,,,,
GO:0010088,phloem development,1,1,1.0,True,False,36.0,-0.0439541740243032,8.81930066258276e-05,0.0009995207417593,True,,,,
GO:0009926,auxin polar transport,1,1,1.0,True,False,43.0,0.0290509460048748,0.0007248599282906,0.0058679137052096,True,,,,
GO:0048481,plant ovule development,1,1,1.0,True,False,52.0,0.0151257978989635,0.0024173260481424,0.0148534492114776,True,,,,
GO:2000024,regulation of leaf development,1,1,1.0,True,False,21.0,0.0288740416650036,0.003618359098301,0.0204563726942842,True,,,,
GO:0160109,plant gross anatomical part developmental process,1,1,1.0,True,False,111.0,0.0034621597096245,0.0071804025317568,0.0331403193773394,True,,,,
GO:0009793,embryo development ending in seed dormancy,2,1,0.5,True,True,331.0,0.0160432578935771,1.59853196915203e-12,1.1646447203821934e-10,True,372.0,8.0,0.571640850273839,False
GO:0009553,embryo sac development,2,1,0.5,True,True,78.0,0.040167009540533,3.44388589147951e-09,1.3510629266573464e-07,True,131.0,1.0,0.9987520849642846,False
GO:0042546,cell wall biogenesis,2,1,0.5,True,True,65.0,-0.0420030356187675,1.839213403151646e-07,4.936835976880734e-06,True,222.0,1.0,0.9999999213864,False
GO:0010089,xylem development,2,1,0.5,True,True,41.0,-0.0675019176039786,2.0227575152019166e-06,4.045515030403833e-05,True,45.0,1.0,0.7496831367869746,False
GO:0048364,root development,2,1,0.5,True,True,214.0,0.0124139802132304,3.6283708359142215e-05,0.0005001267908962,True,582.0,5.0,0.9999999213864,False
GO:0010016,shoot system morphogenesis,2,1,0.5,True,True,12.0,0.0700698529489268,4.200075241743528e-05,0.0005508911709867,True,163.0,4.0,0.571640850273839,False
GO:0048366,leaf development,2,1,0.5,True,True,130.0,0.0136579669308015,4.239449586312715e-05,0.0005508911709867,True,367.0,13.0,0.1009223573061342,False
GO:0048589,developmental growth,2,1,0.5,True,True,13.0,0.0745422675634184,5.9805589871202e-05,0.0007262107341503,True,437.0,6.0,0.9108441056416068,False
GO:0009555,pollen development,2,1,0.5,True,True,264.0,0.0055608728580736,0.0001484163357179,0.0014988580438844,True,289.0,5.0,0.7553875175643586,False
GO:0009827,plant-type cell wall modification,2,1,0.5,True,True,69.0,-0.0096792879405292,0.0001456596328093,0.0014988580438844,True,33.0,1.0,0.6719599375589773,False
GO:0032502,developmental process,2,1,0.5,True,True,33.0,0.0236252595602135,0.0002841142612357,0.0026032332367968,True,2847.0,63.0,0.1288626045964135,False
GO:0042545,cell wall modification,2,1,0.5,True,True,79.0,-0.0071487831223331,0.0005294283938769,0.0045764149301229,True,114.0,6.0,0.1161443400917897,False
GO:0090698,post-embryonic plant morphogenesis,2,1,0.5,True,True,11.0,-0.0728176215236202,0.0007555135268889,0.0060679039167459,True,173.0,2.0,0.9349636230918352,False
GO:0010449,root meristem growth,2,1,0.5,True,True,16.0,0.04845014682779,0.0011493332699875,0.0083143257828887,True,46.0,1.0,0.7522715166513668,False
GO:0009965,leaf morphogenesis,2,1,0.5,True,True,56.0,0.0268383071244476,0.0013213363506972,0.0093594658174386,True,93.0,2.0,0.6983315007283434,False
GO:0003006,developmental process involved in reproduction,2,1,0.5,True,True,10.0,0.0446935002742645,0.0019409198710923,0.0124511840787058,True,1332.0,34.0,0.1129958579671625,False
GO:0048868,pollen tube development,2,1,0.5,True,True,41.0,0.0083291564303844,0.0020640384062035,0.0130765166107303,True,161.0,5.0,0.3776700291423732,False
GO:0099402,plant organ development,2,1,0.5,True,True,56.0,0.0218161521437355,0.0035871840273909,0.0204409369158589,True,1073.0,22.0,0.4934962496325853,False
GO:0048316,seed development,2,1,0.5,True,True,80.0,0.0178988114095661,0.0038170232044538,0.0211595851551245,True,558.0,15.0,0.2318604654482952,False
GO:0009791,post-embryonic development,2,1,0.5,True,True,60.0,0.0252138264529978,0.0047953926546855,0.0252128892153572,True,1485.0,33.0,0.2721645495156779,False
GO:0010082,regulation of root meristem growth,2,1,0.5,True,True,43.0,0.0184254278034635,0.0064511111834088,0.0304005107163815,True,34.0,1.0,0.6761511526013188,False
GO:0010928,regulation of auxin mediated signaling pathway,2,1,0.5,True,True,28.0,0.0125958141313449,0.0087343487248029,0.039420511943801,True,44.0,1.0,0.7463623797860771,False
GO:0048608,reproductive structure development,2,0,0.0,True,True,28.0,0.0258138525095494,0.0125166366038675,0.0527560716361357,False,1151.0,29.0,0.1555715253967282,False
GO:0009908,flower development,2,0,0.0,True,True,88.0,0.0052241563990512,0.0134653665440479,0.0547603248100521,False,474.0,12.0,0.3390274897768064,False
GO:0009910,negative regulation of flower development,1,0,0.0,True,False,51.0,0.0128081357135919,0.0136611308676222,0.0548685652886343,False,,,,
GO:0048731,system development,2,0,0.0,True,True,59.0,0.0004186972677092,0.3142981085525446,0.5024828694727201,False,1891.0,48.0,0.055642286712355,False
GO:0048467,gynoecium development,1,0,0.0,True,False,20.0,0.0294970634965777,0.0166900323906584,0.0632856246783331,False,,,,
GO:0048367,shoot system development,2,0,0.0,True,True,91.0,0.0,0.4078159767235476,0.5925531285726761,False,878.0,26.0,0.0658488138180932,False
GO:0009850,auxin metabolic process,2,0,0.0,True,True,16.0,-0.023722703338479,0.0193023429735998,0.0696669462083635,False,71.0,2.0,0.6065499703562719,False
GO:0048229,gametophyte development,2,0,0.0,True,True,25.0,0.0405693402560623,0.0193291625264381,0.0696669462083635,False,385.0,5.0,0.9303062541697896,False
GO:1905421,regulation of plant organ morphogenesis,1,0,0.0,True,False,10.0,0.0548450424957472,0.0244828639714909,0.083489752795247,False,,,,
GO:0010214,seed coat development,1,0,0.0,True,False,39.0,-0.0033250064929325,0.0338608194961848,0.1047883440828336,False,,,,
GO:1901348,positive regulation of secondary cell wall biogenesis,1,0,0.0,True,False,10.0,-0.0471312178451754,0.0340048449915862,0.1047883440828336,False,,,,
GO:0010099,regulation of photomorphogenesis,1,0,0.0,True,False,23.0,0.0288740416650036,0.0359744797175634,0.109208241999746,False,,,,
GO:0080022,primary root development,1,0,0.0,True,False,45.0,-0.0084906524262646,0.037765239387013,0.1139661070258974,False,,,,
GO:2000280,regulation of root development,1,0,0.0,True,False,70.0,-0.0057427578849156,0.0380563299981907,0.1141689899945721,False,,,,
GO:0010254,nectary development,1,0,0.0,False,True,,,,,,1.0,1.0,0.1195613434624006,False
GO:0045995,regulation of embryonic development,1,0,0.0,True,False,16.0,0.0143323581593667,0.044591938821034,0.1273445131952242,False,,,,
GO:1901332,negative regulation of lateral root development,1,0,0.0,True,False,10.0,-0.0382697405963373,0.0463613347228214,0.129913630267247,False,,,,
GO:0007275,multicellular organism development,1,0,0.0,False,True,,,,,,2403.0,54.0,0.1476869056570539,False
GO:0048639,positive regulation of developmental growth,1,0,0.0,False,True,,,,,,14.0,2.0,0.1483752064863471,False
GO:0048827,phyllome development,2,0,0.0,True,True,13.0,-0.0015429102202677,0.8819177184597762,0.9376743866648912,False,497.0,15.0,0.1555715253967282,False
GO:0061458,reproductive system development,1,0,0.0,False,True,,,,,,1152.0,29.0,0.1555715253967282,False
