GO_ID,GO_term,gene_set_size,median_effect_in_set,median_effect_outside_set,effect_difference,statistic,p_value,adjusted_p_value,significant
GO:0009793,embryo development ending in seed dormancy,331,0.0163309792094326,0.0002877213158555,0.0160432578935771,6485007.0,1.59853196915203e-12,1.1646447203821934e-10,True
GO:0009834,plant-type secondary cell wall biogenesis,80,-0.046857705409697845,0.0002877213158555,-0.047145426725553344,752484.0,1.1787490636620392e-10,6.679578027418223e-09,True
GO:0009553,embryo sac development,78,0.040454730856388496,0.0002877213158555,0.040167009540533,1743093.0,3.4438858914795104e-09,1.3510629266573464e-07,True
GO:0042546,cell wall biogenesis,65,-0.041715314302912,0.0002877213158555,-0.0420030356187675,656236.0,1.839213403151646e-07,4.936835976880734e-06,True
GO:0010089,xylem development,41,-0.0672141962881231,0.0002877213158555,-0.0675019176039786,377966.0,2.0227575152019166e-06,4.045515030403833e-05,True
GO:0048364,root development,214,0.0127017015290859,0.0002877213158555,0.0124139802132304,3995718.0,3.6283708359142215e-05,0.0005001267908962846,True
GO:0010016,shoot system morphogenesis,12,0.0703575742647823,0.0002877213158555,0.0700698529489268,326086.0,4.200075241743528e-05,0.0005508911709867908,True
GO:0048366,leaf development,130,0.01394568824665705,0.0002877213158555,0.013657966930801551,2526074.0,4.239449586312715e-05,0.0005508911709867908,True
GO:0048589,developmental growth,13,0.0748299888792739,0.0002877213158555,0.0745422675634184,344851.0,5.9805589871202e-05,0.00072621073415031,True
GO:2000652,regulation of secondary cell wall biogenesis,28,-0.0345520743123523,0.0002877213158555,-0.0348397956282078,256020.0,7.131837189637846e-05,0.0008361464291299544,True
GO:0010088,phloem development,36,-0.0436664527084477,0.0002877213158555,-0.0439541740243032,361641.0,8.81930066258276e-05,0.0009995207417593794,True
GO:0010228,vegetative to reproductive phase transition of meristem,119,0.0168135777750735,0.0002877213158555,0.016525856459218002,2309724.0,0.00010265956395202564,0.001138182122076806,True
GO:0009827,plant-type cell wall modification,69,-0.0093915666246737,0.0002877213158555,-0.0096792879405292,818354.0,0.0001456596328093654,0.001498858043884407,True
GO:0009555,pollen development,264,0.00584859417392915,0.0002877213158555,0.00556087285807365,4802427.0,0.00014841633571796578,0.001498858043884407,True
GO:0032502,developmental process,33,0.023912980876069,0.0002877213158555,0.0236252595602135,726888.0,0.00028411426123572595,0.0026032332367968846,True
GO:0042545,cell wall modification,79,-0.0068610618064776,0.0002877213158555,-0.0071487831223331,986193.0,0.0005294283938769654,0.004576414930122921,True
GO:0009926,auxin polar transport,43,0.0293386673207303,0.0002877213158555,0.0290509460048748,900278.0,0.0007248599282906056,0.005867913705209665,True
GO:0090698,post-embryonic plant morphogenesis,11,-0.0725299002077647,0.0002877213158555,-0.0728176215236202,73466.0,0.0007555135268889621,0.006067903916745995,True
GO:0010449,root meristem growth,16,0.0487378681436455,0.0002877213158555,0.04845014682779,379592.0,0.001149333269987569,0.008314325782888796,True
GO:0009965,leaf morphogenesis,56,0.02712602844030315,0.0002877213158555,0.026838307124447652,1126998.0,0.001321336350697219,0.009359465817438635,True
GO:0003006,developmental process involved in reproduction,10,0.044981221590119996,0.0002877213158555,0.0446935002742645,252876.0,0.0019409198710923785,0.012451184078705824,True
GO:0048868,pollen tube development,41,0.0086168777462399,0.0002877213158555,0.0083291564303844,845347.0,0.002064038406203517,0.013076516610730355,True
GO:0048481,plant ovule development,52,0.015413519214819052,0.0002877213158555,0.015125797898963553,1042517.0,0.0024173260481424484,0.014853449211477694,True
GO:0099402,plant organ development,56,0.02210387345959105,0.0002877213158555,0.02181615214373555,1106153.0,0.003587184027390937,0.020440936915858972,True
GO:2000024,regulation of leaf development,21,0.0291617629808591,0.0002877213158555,0.0288740416650036,463330.0,0.003618359098301059,0.02045637269428423,True
GO:0048316,seed development,80,0.01818653272542165,0.0002877213158555,0.017898811409566152,1530163.0,0.0038170232044538468,0.021159585155124585,True
GO:0009791,post-embryonic development,60,0.02550154776885335,0.0002877213158555,0.02521382645299785,1171022.0,0.004795392654685599,0.025212889215357276,True
GO:0010082,regulation of root meristem growth,43,0.018713149119319,0.0002877213158555,0.018425427803463502,860184.0,0.006451111183408895,0.030400510716381512,True
GO:0160109,plant gross anatomical part developmental process,111,0.0037498810254801,0.0002877213158555,0.0034621597096245998,2050673.0,0.007180402531756876,0.033140319377339425,True
GO:0010928,regulation of auxin mediated signaling pathway,28,0.0128835354472004,0.0002877213158555,0.0125958141313449,581280.0,0.00873434872480297,0.03942051194380102,True
GO:0048608,reproductive structure development,28,0.02610157382540495,0.0002877213158555,0.02581385250954945,575112.0,0.012516636603867506,0.05275607163613577,False
GO:0009908,flower development,88,0.0055118777149067,0.0002877213158555,0.0052241563990512,1633619.0,0.013465366544047909,0.05476032481005211,False
GO:0009910,negative regulation of flower development,51,0.0130958570294474,0.0002877213158555,0.0128081357135919,986686.0,0.013661130867622261,0.054868565288634305,False
GO:0048467,gynoecium development,20,0.02978478481243325,0.0002877213158555,0.02949706349657775,422681.0,0.016690032390658433,0.0632856246783331,False
GO:0009850,auxin metabolic process,16,-0.0234349820226235,0.0002877213158555,-0.023722703338479,171090.0,0.01930234297359985,0.0696669462083635,False
GO:0048229,gametophyte development,25,0.0408570615719178,0.0002877213158555,0.0405693402560623,512578.0,0.01932916252643811,0.0696669462083635,False
GO:1905421,regulation of plant organ morphogenesis,10,0.0551327638116027,0.0002877213158555,0.054845042495747204,227823.0,0.024482863971490975,0.08348975279524701,False
GO:0010074,maintenance of meristem identity,12,0.02053453921990665,0.0002877213158555,0.02024681790405115,265123.0,0.027192666783809404,0.09064222261269801,False
GO:0010214,seed coat development,39,-0.003037285177077,0.0002877213158555,-0.0033250064929325,505772.0,0.03386081949618482,0.10478834408283365,False
GO:1901348,positive regulation of secondary cell wall biogenesis,10,-0.0468434965293199,0.0002877213158555,-0.0471312178451754,98984.0,0.034004844991586215,0.10478834408283365,False
GO:0010099,regulation of photomorphogenesis,23,0.0291617629808591,0.0002877213158555,0.0288740416650036,465053.0,0.035974479717563415,0.10920824199974609,False
GO:0080022,primary root development,45,-0.0082029311104091,0.0002877213158555,-0.0084906524262646,596071.0,0.03776523938701307,0.11396610702589745,False
GO:2000280,regulation of root development,70,-0.00545503656906015,0.0002877213158555,-0.00574275788491565,966698.0,0.038056329998190704,0.11416898999457212,False
GO:0045995,regulation of embryonic development,16,0.0146200794752222,0.0002877213158555,0.0143323581593667,333248.0,0.044591938821034016,0.12734451319522425,False
GO:1901332,negative regulation of lateral root development,10,-0.03798201928048185,0.0002877213158555,-0.03826974059633735,102756.0,0.04636133472282148,0.129913630267247,False
GO:0009933,meristem structural organization,21,0.0122328018114302,0.0002877213158555,0.011945080495574701,420333.0,0.05701351418637064,0.1527548880282804,False
GO:0010053,root epidermal cell differentiation,21,-0.0180457076932892,0.0002877213158555,-0.0183334290091447,259078.0,0.061303075981827465,0.16157399871179332,False
GO:0048825,cotyledon development,39,0.0082691093101337,0.0002877213158555,0.007981387994278201,737387.0,0.06322072305027236,0.16492362534853658,False
GO:0009960,endosperm development,36,0.0047219599844783005,0.0002877213158555,0.0044342386686228,678745.5,0.08022413202615074,0.19814843124103973,False
GO:0052543,callose deposition in cell wall,16,0.01273808410295795,0.0002877213158555,0.01245036278710245,322128.0,0.08720880648614715,0.21078905833144573,False
GO:0016998,cell wall macromolecule catabolic process,16,-0.0859122393731797,0.0002877213158555,-0.0861999606890352,194918.0,0.08899761174596856,0.2125938266531333,False
GO:0090558,plant epidermis development,13,0.0266424754667295,0.0002877213158555,0.026354754150874002,266968.0,0.08972723250270692,0.21299540448802953,False
GO:0009851,auxin biosynthetic process,22,-0.00697950449396885,0.0002877213158555,-0.00726722580982435,284854.0,0.10788393626430555,0.24554980002129764,False
GO:0080147,root hair cell development,33,-0.0070043073493394,0.0002877213158555,-0.0072920286651949,446698.0,0.10883841969849326,0.2458544081974423,False
GO:0048354,mucilage biosynthetic process involved in seed coat development,23,-0.0101466926877533,0.0002877213158555,-0.010434414003608799,299940.0,0.11052057834582385,0.24721708314197438,False
GO:0009733,response to auxin,323,0.0014500714212202,0.0002877213158555,0.0011623501053647,5431154.0,0.11148299049910737,0.2488241801074169,False
GO:0009833,plant-type primary cell wall biogenesis,28,-0.0087779453132436,0.0002877213158555,-0.0090656666290991,374378.0,0.11587677658588898,0.2525519489692452,False
GO:2000067,regulation of root morphogenesis,27,-0.0175762623988947,0.0002877213158555,-0.0178639837147502,361721.0,0.12613881301270718,0.2702974564558011,False
GO:0009909,regulation of flower development,96,0.00419568626087035,0.0002877213158555,0.00390796494501485,1681860.0,0.13711290402917062,0.2878237183236986,False
GO:0048443,stamen development,23,0.0002877213158555,0.0002877213158555,0.0,435491.0,0.1510023053978037,0.30757199061140567,False
GO:0050793,regulation of developmental process,20,0.0161286328628782,0.0002877213158555,0.0158409115470227,382144.0,0.15526161438691444,0.3129779578550449,False
GO:0048767,root hair elongation,59,-0.0210543984973655,0.0002877213158555,-0.021342119813221,852226.0,0.16592976025639128,0.3254776066567675,False
GO:0009629,response to gravity,11,-0.0165714288992667,0.0002877213158555,-0.016859150215122198,138332.0,0.20371302290940674,0.37483343360793975,False
GO:0010229,inflorescence development,19,-0.0303764168080196,0.0002877213158555,-0.030664138123875098,255308.0,0.2055217990709306,0.3757214847621979,False
GO:0009630,gravitropism,50,0.00688513685303425,0.0002877213158555,0.00659741553717875,889889.0,0.20554175342873182,0.3757214847621979,False
GO:0009958,positive gravitropism,46,0.02085882545761695,0.0002877213158555,0.02057110414176145,821476.0,0.2088802518733387,0.37937412367546663,False
GO:0048831,regulation of shoot system development,12,0.0063005952891757,0.0002877213158555,0.0060128739733202,233371.0,0.22031850886070092,0.3906194452583153,False
GO:2000012,regulation of auxin polar transport,49,0.0049073052122265,0.0002877213158555,0.004619583896371,870276.0,0.22058509849881336,0.3906194452583153,False
GO:0010072,primary shoot apical meristem specification,12,0.00196640881599625,0.0002877213158555,0.0016786875001407499,230703.0,0.2530058414684948,0.4293942733741509,False
GO:0010154,fruit development,32,0.006742141696423501,0.0002877213158555,0.0064544203805680005,572035.0,0.2916468312885653,0.4821390079648891,False
GO:1900140,regulation of seedling development,13,0.0296808730189245,0.0002877213158555,0.029393151703069,244933.0,0.2977008137017003,0.48781991400364216,False
GO:0010100,negative regulation of photomorphogenesis,12,-0.0096070113619273,0.0002877213158555,-0.009894732677782798,160187.0,0.29829153812695,0.48781991400364216,False
GO:0048731,system development,59,0.0007064185835647,0.0002877213158555,0.0004186972677092,1023389.0,0.3142981085525446,0.5024828694727201,False
GO:1905392,plant organ morphogenesis,19,-0.0022889928045014,0.0002877213158555,-0.0025767141203569,266890.0,0.3266074081958228,0.5150426280912465,False
GO:0009934,regulation of meristem structural organization,21,0.0097205085844735,0.0002877213158555,0.009432787268618001,380649.0,0.3299004223647043,0.5184875667365153,False
GO:0009664,plant-type cell wall organization,69,0.0002877213158555,0.0002877213158555,0.0,1037399.0,0.3332094960893638,0.5218339421301743,False
GO:0048507,meristem development,26,0.0014922069349344999,0.0002877213158555,0.0012044856190789998,464671.0,0.34387520118715564,0.5319544917775808,False
GO:0010374,stomatal complex development,27,0.0034802003765152,0.0002877213158555,0.0031924790606596997,481580.0,0.3446687980037104,0.5319544917775808,False
GO:0048509,regulation of meristem development,10,0.02503305184824035,0.0002877213158555,0.02474533053238485,188109.0,0.3667465374014278,0.5560361494446874,False
GO:0048829,root cap development,15,-0.013822474684851,0.0002877213158555,-0.0141101960007065,211605.0,0.396772571240004,0.5806427871804937,False
GO:0080086,stamen filament development,14,0.0033289105270634,0.0002877213158555,0.0030411892112079,255490.0,0.39897852381731636,0.5826080902865446,False
GO:0048367,shoot system development,91,0.0002877213158555,0.0002877213158555,0.0,1539453.0,0.40781597672354764,0.5925531285726761,False
GO:1901703,protein localization involved in auxin polar transport,24,0.0153502857135767,0.0002877213158555,0.0150625643977212,424830.0,0.4127085914066022,0.5941918837909878,False
GO:0048653,anther development,34,0.0029079618340420504,0.0002877213158555,0.0026202405181865503,593165.0,0.4130216133409905,0.5941918837909878,False
GO:2000023,regulation of lateral root development,19,0.0057016345194228,0.0002877213158555,0.0054139132035672995,338637.0,0.4327305524210965,0.61303494926322,False
GO:0010098,suspensor development,18,0.0005378944395093,0.0002877213158555,0.00025017312365379995,321278.0,0.438284253782971,0.6186829227761214,False
GO:0010492,maintenance of shoot apical meristem identity,24,-0.0070501610354699006,0.0002877213158555,-0.007337882351325401,354705.0,0.4737861067345591,0.6539402285104876,False
GO:0071555,cell wall organization,25,-0.0035540203481581,0.0002877213158555,-0.0038417416640136003,371165.0,0.48718660950550075,0.6661264633989421,False
GO:0010582,floral meristem determinacy,17,0.0025711476200719,0.0002877213158555,0.0022834263042163998,300304.0,0.5017603930828267,0.6778749681383884,False
GO:0009832,plant-type cell wall biogenesis,39,-0.0018990816045151,0.0002877213158555,-0.0021868029203706,590996.0,0.5108650777405019,0.6874437721574036,False
GO:0071365,cellular response to auxin stimulus,32,0.0036768653606243,0.0002877213158555,0.0033891440447688,549148.0,0.534956348508932,0.703375548351326,False
GO:0048766,root hair initiation,20,-0.0026570118715871,0.0002877213158555,-0.0029447331874426002,297031.0,0.5351170838437539,0.703375548351326,False
GO:0010090,trichome morphogenesis,40,0.00556654193771235,0.0002877213158555,0.00527882062185685,680836.0,0.5475018699000584,0.712311106247525,False
GO:1901371,regulation of leaf morphogenesis,23,0.0001042702977662,0.0002877213158555,-0.00018345101808930003,344757.0,0.552891945217726,0.7156723148757367,False
GO:0048528,post-embryonic root development,10,0.005761097208576,0.0002877213158555,0.0054733758927205,178151.0,0.5721666417461049,0.7300236232166911,False
GO:0052544,defense response by callose deposition in cell wall,16,-0.007954158681787601,0.0002877213158555,-0.0082418799976431,237503.0,0.5762825095538564,0.7329278799812139,False
GO:0140964,intracellular auxin homeostasis,22,-0.0036691960197824,0.0002877213158555,-0.0039569173356379,331187.0,0.5835761621621078,0.7394381185159628,False
GO:0010102,lateral root morphogenesis,17,0.000366002387475,0.0002877213158555,7.828107161949997e-05,254657.0,0.6060527392760225,0.7588648136836706,False
GO:0009653,anatomical structure morphogenesis,16,0.00241472446000205,0.0002877213158555,0.00212700314414655,277542.0,0.6067157379203116,0.7588648136836706,False
GO:0071669,plant-type cell wall organization or biogenesis,15,-0.0024316996044143,0.0002877213158555,-0.0027194209202698,223782.0,0.6099262447054798,0.759615103296202,False
GO:0048658,anther wall tapetum development,17,0.0017930527560346,0.0002877213158555,0.0015053314401791,256203.0,0.6344318492307053,0.7804271231307812,False
GO:0009959,negative gravitropism,22,0.0039191733816699,0.0002877213158555,0.0036314520658144002,375167.0,0.6472357733357743,0.7868703146089148,False
GO:0080186,developmental vegetative growth,11,-0.0157371716824974,0.0002877213158555,-0.0160248929983529,163837.0,0.6553838313000554,0.7939329072756016,False
GO:0010078,maintenance of root meristem identity,47,-0.0015959853342574,0.0002877213158555,-0.0018837066501129001,731197.0,0.6730355480373583,0.8044961488017048,False
GO:0160062,cutin-based cuticle development,24,0.0009486430376791,0.0002877213158555,0.0006609217218235999,406281.0,0.6796223064787681,0.8098303184676909,False
GO:0048441,petal development,13,-0.0013521861852139,0.0002877213158555,-0.0016399075010694,196519.0,0.6900880980467656,0.8165775638140382,False
GO:0009828,plant-type cell wall loosening,39,0.0002877213158555,0.0002877213158555,0.0,606609.0,0.6970954715810203,0.8182248343068362,False
GO:0052324,plant-type cell wall cellulose biosynthetic process,18,0.003797407423997,0.0002877213158555,0.0035096861081415,305905.0,0.6991702257049588,0.8196014158281526,False
GO:0009640,photomorphogenesis,71,0.004510079676065,0.0002877213158555,0.0042223583602095,1115903.0,0.7161061364240091,0.8328714471522112,False
GO:0009734,auxin-activated signaling pathway,102,0.00073395602272785,0.0002877213158555,0.00044623470687235,1673828.0,0.7394838226981881,0.8520806126633483,False
GO:0060918,auxin transport,24,-0.0021424849080096,0.0002877213158555,-0.0024302062238651,372579.0,0.7452153361265219,0.8569556289166317,False
GO:2000014,regulation of endosperm development,10,0.0001023827014301026,0.0002877213158555,-0.00018533861442539742,170548.0,0.7588347836089888,0.8656421924349303,False
GO:0048437,floral organ development,20,6.69738433906e-05,0.0002877213158555,-0.00022074747246490003,310385.0,0.7642387313242351,0.867100674027497,False
GO:0010015,root morphogenesis,23,-0.0032174701998959,0.0002877213158555,-0.0035051915157514,360894.0,0.816153865801536,0.9011918109099215,False
GO:0010311,lateral root formation,61,0.0028764308790876,0.0002877213158555,0.0025887095632321,996855.0,0.8550773771066693,0.9198454458677151,False
GO:0009911,positive regulation of flower development,42,0.0003453993170445,0.0002877213158555,5.767800118899999e-05,688045.0,0.8627995188130642,0.9254001148152738,False
GO:0010315,auxin export across the plasma membrane,34,-0.0004825370812752,0.0002877213158555,-0.0007702583971307001,557195.0,0.8754378073562986,0.9355078354753268,False
GO:0048527,lateral root development,56,0.0026578174121882,0.0002877213158555,0.0023700960963327,913771.0,0.8781910339463965,0.9355078354753268,False
GO:0048827,phyllome development,13,-0.0012551889044122,0.0002877213158555,-0.0015429102202677001,214918.0,0.8819177184597762,0.9376743866648913,False
GO:0000902,cell morphogenesis,20,0.0027302309333438997,0.0002877213158555,0.0024425096174883996,328741.0,0.8884042388976641,0.9390993063065959,False
GO:0048317,seed morphogenesis,11,-0.0004276723163458,0.0002877213158555,-0.0007153936322013,173518.0,0.8940007922921456,0.9421438414526733,False
GO:0010073,meristem maintenance,47,0.0007700772544015,0.0002877213158555,0.00048235593854599994,766661.0,0.8941129789472428,0.9421438414526733,False
GO:0080060,integument development,12,-9.826349767849999e-05,0.0002877213158555,-0.000385984813534,197350.0,0.9120511119687567,0.9521925631608309,False
GO:0010540,basipetal auxin transport,14,0.00500928725171915,0.0002877213158555,0.00472156593586365,229497.0,0.9216438889280246,0.9592620068434542,False
GO:0048768,root hair cell tip growth,31,0.0015684706120047,0.0002877213158555,0.0012807492961491999,497278.0,0.9534356239842358,0.9754306283489674,False
GO:0090351,seedling development,33,-0.0076046659944604,0.0002877213158555,-0.0078923873103159,529818.0,0.9592552728113272,0.9781480539181324,False
GO:0048440,carpel development,18,-0.00086971860781235,0.0002877213158555,-0.00115743992366785,291950.0,0.973166557553161,0.9867096309187119,False
GO:0048765,root hair cell differentiation,20,-0.00031638261597719995,0.0002877213158555,-0.0006041039318326999,322051.0,0.983954550061183,0.9917328468996114,False
GO:0010075,regulation of meristem growth,29,-0.0051885567837383,0.0002877213158555,-0.0054762780995938004,468136.0,0.9987999442294004,0.9987999442294004,False
