Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT4G23496,-0.536244988847075,0.0409116596674826,-13.107387801069631,1.805947241385197e-13,5.8348349421914325e-09,True
AT4G18422,-0.2477199230936257,0.0194815363847948,-12.71562561600474,3.7529547152568405e-13,6.062710694761661e-09,True
AT3G52740,-0.5481696644076102,0.0447871300140494,-12.239446113998662,9.333727322573877e-13,1.0052113202167978e-08,True
AT4G15248,-0.3009480991282181,0.0315328542873779,-9.543953629617413,2.6696116243935265e-10,1.791295634293178e-06,True
AT3G24520,-0.3594895013299055,0.0378517814356559,-9.497294121836765,2.967834405949047e-10,1.791295634293178e-06,True
AT4G25830,-0.2262810095087231,0.0240455494862061,-9.41051522397233,3.6166375222714407e-10,1.791295634293178e-06,True
AT5G66170,0.5960138873566667,0.063543251491713,9.379656743476453,3.880983453543052e-10,1.791295634293178e-06,True
AT1G10370,-0.388379978630572,0.0425378444657668,-9.130222358660609,6.895694175471521e-10,2.7849122889413665e-06,True
AT4G14690,-0.5974119652021301,0.0670650770643088,-8.907944214084338,1.1588719060211498e-09,3.395881920825895e-06,True
AT5G54470,-0.1652308271452804,0.0185716061487422,-8.896959467152538,1.189188653048518e-09,3.395881920825895e-06,True
AT5G53980,0.3031924627309049,0.0341191724772334,8.886278321469103,1.2194464759904872e-09,3.395881920825895e-06,True
AT5G67210,-0.3048095533779589,0.0343884995853392,-8.863706095159431,1.2860099612481223e-09,3.395881920825895e-06,True
AT5G23280,-0.272255556892482,0.0308051308402565,-8.837993849280947,1.3663828955008396e-09,3.395881920825895e-06,True
AT2G44080,0.5655463041048221,0.0646065128526434,8.753704218562884,1.6678112665639092e-09,3.848951015100953e-06,True
AT1G67030,-0.365319016786508,0.0426232032678912,-8.570895399166503,2.5781704205428524e-09,5.55320720782127e-06,True
AT2G27370,-0.4206026662078358,0.0492913345426841,-8.532994087299718,2.823387031953008e-09,5.701300725960609e-06,True
AT4G04750,-0.2139375574152333,0.0252147212728538,-8.48462908235905,3.171336390042681e-09,5.877008996673815e-06,True
AT1G54540,-0.3569465070798102,0.042135643613304,-8.471367148337732,3.274201056675498e-09,5.877008996673815e-06,True
AT1G21320,0.2092148382722901,0.024835990013578,8.42385740040606,3.6715632014725853e-09,6.039976325219531e-06,True
AT5G54230,-0.2460233526014684,0.0292316573814065,-8.416332655771924,3.7388816275462145e-09,6.039976325219531e-06,True
AT2G36870,-0.3399017170966543,0.0406063078564403,-8.370662959517118,4.1754365113027865e-09,6.424008487794367e-06,True
AT1G30750,-0.6369109843650842,0.0766392556488134,-8.310505875521837,4.831228327050562e-09,6.840270762221268e-06,True
