biological_sample,environment,age,genotype,replicate,PC1,PC2
"Ground Control, 4 days old, Col-0 Rep1",Ground,4,Col-0,Rep1,-12.721242669970023,-6.428092637261821
"Ground Control, 4 days old, Col-0 Rep2",Ground,4,Col-0,Rep2,-11.476499188544263,-5.290004559717538
"Ground Control, 4 days old, Col-0 Rep3",Ground,4,Col-0,Rep3,-10.419080566837199,-13.28889065609838
"Ground Control, 4 days old, Col-0 Rep4",Ground,4,Col-0,Rep4,-12.667241066277803,-10.601527561117408
"Spaceflight, 4 days old, Col-0 Rep1",Spaceflight,4,Col-0,Rep1,-9.077299322197865,-6.849366911542262
"Spaceflight, 4 days old, Col-0 Rep2",Spaceflight,4,Col-0,Rep2,-8.000178149165817,-8.976877939924549
"Spaceflight, 4 days old, Col-0 Rep3",Spaceflight,4,Col-0,Rep3,-7.6765604160412115,-8.688829196261187
"Spaceflight, 4 days old, Col-0 Rep4",Spaceflight,4,Col-0,Rep4,-7.664466628892471,-12.019444784510842
"Ground Control, 4 days old, WS Rep1",Ground,4,WS,Rep1,10.257984253375515,3.8291175698162547
"Ground Control, 4 days old, WS Rep2",Ground,4,WS,Rep2,19.93442206209938,-16.42891776565316
"Ground Control, 4 days old, WS Rep3",Ground,4,WS,Rep3,13.962059112817224,-5.76012344473433
"Ground Control, 4 days old, WS Rep4",Ground,4,WS,Rep4,11.24323166485193,0.9997735596347324
"Spaceflight, 4 days old, WS Rep1",Spaceflight,4,WS,Rep1,22.229967059288235,-18.079326007055972
"Spaceflight, 4 days old, WS Rep2",Spaceflight,4,WS,Rep2,14.956608046941934,-7.40442205044799
"Spaceflight, 4 days old, WS Rep3",Spaceflight,4,WS,Rep3,14.83653608509503,-4.515161461055426
"Spaceflight, 4 days old, WS Rep4",Spaceflight,4,WS,Rep4,21.58879419467951,-13.808011486619485
"Ground Control, 8 days old, Col-0 Rep1",Ground,8,Col-0,Rep1,-13.908604450902315,4.492504937459232
"Ground Control, 8 days old, Col-0 Rep2",Ground,8,Col-0,Rep2,-13.900229729779083,3.520341866473298
"Ground Control, 8 days old, Col-0 Rep3",Ground,8,Col-0,Rep3,-14.770278384296047,3.4941706043040726
"Ground Control, 8 days old, Col-0 Rep4",Ground,8,Col-0,Rep4,-14.606016138094331,3.027848008945897
"Spaceflight, 8 days old, Col-0 Rep1",Spaceflight,8,Col-0,Rep1,-12.961182474070057,1.715765447924173
"Spaceflight, 8 days old, Col-0 Rep2",Spaceflight,8,Col-0,Rep2,-12.911643986390002,2.1596663716011433
"Spaceflight, 8 days old, Col-0 Rep3",Spaceflight,8,Col-0,Rep3,-13.534072808541628,1.4686481296947191
"Spaceflight, 8 days old, Col-0 Rep4",Spaceflight,8,Col-0,Rep4,-12.760391353420761,1.6687802387745048
"Ground Control, 8 days old, WS Rep1",Ground,8,WS,Rep1,7.142569317887384,17.987234857213007
"Ground Control, 8 days old, WS Rep2",Ground,8,WS,Rep2,6.812378009639085,16.68773998767779
"Ground Control, 8 days old, WS Rep3",Ground,8,WS,Rep3,7.293687970806812,18.380886767577678
"Ground Control, 8 days old, WS Rep4",Ground,8,WS,Rep4,7.174714025382356,17.74290187912093
"Spaceflight, 8 days old, WS Rep1",Spaceflight,8,WS,Rep1,7.991908743604391,10.05318858943706
"Spaceflight, 8 days old, WS Rep2",Spaceflight,8,WS,Rep2,7.473156900765221,11.900704835079768
"Spaceflight, 8 days old, WS Rep3",Spaceflight,8,WS,Rep3,8.426690909206975,8.451919213928822
"Spaceflight, 8 days old, WS Rep4",Spaceflight,8,WS,Rep4,7.730278976979928,10.557803597337244
