GO_ID,GO_term,Gene_Count,Wilcoxon_P,Wilcoxon_Adj,Cluster_Term,setSize,enrichmentScore,NES,Cluster_P,Cluster_Adj,Cluster_Q,rank,leading_edge,core_enrichment,log2err,source,GProfiler_Term,GProfiler_P,GProfiler_Significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,Methods_Included,Methods_Significant
GO:0007623,circadian rhythm,18.0,0.0002931395748969,0.012092007464499,circadian rhythm,158.0,-0.439908221254667,-1.47274711204451,0.0002083997872901,0.0054262094615678,0.00326569503369,7932.0,"tags=45%, list=25%, signal=34%",AT1G35460/AT5G61380/AT3G54500/AT4G00150/AT1G04400/AT4G30350/AT5G24930/AT3G51550/AT4G30200/AT1G17455/AT1G75060/AT4G08920/AT5G64170/AT1G22770/AT3G24050/AT2G44680/AT3G22231/AT4G25100/AT2G47700/AT1G72630/AT5G57360/AT1G09340/AT2G18790/AT5G52660/AT3G55960/AT3G01060/AT3G56480/AT1G19330/AT1G19450/AT4G13930/AT2G23080/AT1G32070/AT3G06080/AT1G10470/AT2G29950/AT3G57040/AT4G38960/AT4G34680/AT2G17840/AT1G80820/AT5G08330/AT2G18170/AT1G68830/AT5G64940/AT1G69690/AT4G02630/AT5G37260/AT4G36240/AT1G15950/AT5G63980/AT3G46640/AT5G54160/AT2G40080/AT5G11260/AT4G37930/AT5G52310/AT2G47890/AT5G02120/AT5G06980/AT1G01060/AT2G46830/AT5G56860/AT1G18330/AT3G12700/AT5G23280/AT5G24470/AT3G12320/AT2G42540/AT3G21890/AT4G15248/AT2G46790,0.518848077743792,,,,,,,,,,,,,,,,2,2
GO:0009411,response to UV,,,,response to UV,133.0,-0.419156177544442,-1.38116411229638,0.0034010177072619,0.0404818279098667,0.0243634723827538,13206.0,"tags=60%, list=41%, signal=36%",AT2G28190/AT1G10520/AT1G27840/AT1G79650/AT2G43790/AT5G63860/AT3G05210/AT3G02540/AT4G36220/AT1G05120/AT1G03190/AT2G31190/AT3G48900/AT5G14170/AT2G01180/AT5G37890/AT3G45890/AT3G50000/AT5G01410/AT3G04880/AT3G15620/AT5G63310/AT2G36910/AT5G18070/AT4G15475/AT5G09740/AT1G12370/AT5G52800/AT5G59920/AT1G08810/AT5G63890/AT1G10670/AT3G45640/AT3G17800/AT1G08830/AT2G42690/AT1G16420/AT5G21900/AT3G07800/AT2G02760/AT5G55200/AT3G12610/AT1G51400/AT3G22231/AT2G26670/AT5G58760/AT3G21240/AT1G32870/AT1G65060/AT1G01880/AT2G23080/AT2G46370/AT4G13770/AT4G01660/AT5G05410/AT5G03240/AT5G59820/AT1G15380/AT1G20340/AT3G52430/AT3G53600/AT3G51240/AT5G11260/AT2G21970/AT5G13930/AT3G62610/AT4G34190/AT1G51680/AT3G17609/AT5G23730/AT4G38620/AT3G55120/AT2G37040/AT5G07990/AT5G52250/AT2G47460/AT3G21890/AT4G15480/AT3G22840/AT4G14690,0.431707695803346,GO:BP,response to UV,0.0204032876015209,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]",116.0,52.0,4.0,32365.0,0.0769230769230769,0.0344827586206896,query_1,['GO:0009416'],"['AT4G15480', 'AT4G14690', 'AT3G22840', 'AT3G21890']","[['IGI', 'IEP'], ['IEP'], ['IEP'], ['IEP']]",2,2
GO:0009664,plant-type cell wall organization,20.0,0.0003956888241229,0.0150894225931774,plant-type cell wall organization,230.0,-0.405704421110077,-1.38520174853956,0.0003081368045507,0.00675630488294,0.0040661960174198,11595.0,"tags=54%, list=36%, signal=35%",AT1G28290/AT3G01040/AT3G49720/AT2G32700/AT1G47960/AT1G21310/AT5G56870/AT4G25260/AT5G63800/AT2G44610/AT4G00080/AT3G16860/AT3G03220/AT3G57280/AT2G47340/AT1G18580/AT5G04960/AT5G15470/AT5G06610/AT5G55480/AT5G44700/AT2G35610/AT3G13750/AT4G30260/AT2G32580/AT1G77410/AT3G26370/AT4G01750/AT4G00740/AT5G65810/AT5G49270/AT2G41770/AT2G20750/AT3G02210/AT5G62880/AT4G30270/AT4G36890/AT2G33460/AT1G65680/AT3G55830/AT1G27930/AT3G57420/AT5G15740/AT1G45130/AT1G28240/AT4G12390/AT5G51520/AT5G16490/AT5G06630/AT4G34600/AT1G14890/AT2G43150/AT5G25460/AT1G51630/AT4G26690/AT3G26610/AT3G29360/AT3G25140/AT3G54580/AT2G16385/AT1G02720/AT4G28370/AT5G20740/AT5G60920/AT3G52840/AT4G37450/AT1G12560/AT3G53350/AT3G28550/AT5G01360/AT2G39700/AT1G67330/AT3G54590/AT1G23720/AT5G66460/AT4G34980/AT5G17420/AT1G64760/AT1G31420/AT2G35620/AT3G20580/AT5G62360/AT4G26140/AT1G10550/AT4G38590/AT4G28250/AT4G20140/AT3G50990/AT2G34070/AT1G56550/AT5G15630/AT5G15490/AT1G05250/AT3G55500/AT2G28950/AT2G03090/AT4G25250/AT2G23130/AT1G70720/AT5G38610/AT1G62770/AT1G09790/AT3G11490/AT5G44585/AT3G21190/AT1G62760/AT1G62980/AT1G70370/AT5G62350/AT3G12977/AT4G37780/AT2G41480/AT2G45890/AT2G28470/AT3G62820/AT5G14650/AT3G07970/AT2G47670/AT2G01610/AT5G64620/AT4G01630/AT5G41040/AT1G74670/AT3G17130,0.49849310876659,,,,,,,,,,,,,,,,2,2
GO:0009698,phenylpropanoid metabolic process,,,,phenylpropanoid metabolic process,145.0,-0.512313911000576,-1.70680105671838,9.48501274472747e-08,1.79611650429703e-05,1.08096983530685e-05,5103.0,"tags=49%, list=16%, signal=41%",AT1G65060/AT3G16340/AT2G30490/AT3G02130/AT1G31720/AT1G55270/AT3G27190/AT5G22420/AT1G63910/AT2G21890/AT5G03260/AT1G07890/AT1G12840/AT1G28680/AT3G45070/AT1G22640/AT4G34230/AT5G16600/AT3G53510/AT1G80820/AT5G17050/AT3G21230/AT5G63560/AT3G24503/AT3G50740/AT1G66230/AT1G05850/AT3G53260/AT1G32100/AT1G05250/AT5G13420/AT1G15950/AT2G28670/AT5G54160/AT3G13610/AT4G12350/AT1G61590/AT4G01070/AT5G22500/AT2G40890/AT4G23690/AT5G10280/AT3G19450/AT5G48930/AT3G44540/AT5G13930/AT2G37360/AT4G34050/AT1G04220/AT3G16920/AT1G51680/AT5G60020/AT3G44550/AT4G17785/AT4G38620/AT3G11430/AT2G41480/AT5G58860/AT2G28470/AT2G38080/AT5G23190/AT3G12900/AT1G61810/AT2G37040/AT4G22680/AT4G33790/AT5G13580/AT5G41040/AT3G21560/AT4G31940/AT5G66390,0.704975715167238,GO:BP,phenylpropanoid metabolic process,1.2521414390441616e-07,True,"""The chemical reactions and pathways involving aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",164.0,52.0,8.0,32365.0,0.1538461538461538,0.048780487804878,query_1,['GO:0019748'],"['AT5G66390', 'AT3G21560', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730', 'AT2G30210']","[['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",2,2
GO:0009699,phenylpropanoid biosynthetic process,,,,phenylpropanoid biosynthetic process,109.0,-0.577742048749776,-1.89009115009946,7.37008931508127e-10,7.67594802165715e-07,4.61967152405973e-07,5007.0,"tags=56%, list=15%, signal=47%",AT3G16340/AT2G30490/AT3G27190/AT5G22420/AT1G63910/AT2G21890/AT5G03260/AT1G07890/AT1G12840/AT1G28680/AT1G22640/AT4G34230/AT5G16600/AT3G53510/AT1G80820/AT5G17050/AT3G21230/AT5G63560/AT3G24503/AT1G66230/AT1G05850/AT3G53260/AT1G32100/AT5G13420/AT1G15950/AT2G28670/AT5G54160/AT3G13610/AT4G12350/AT1G61590/AT4G01070/AT5G22500/AT2G40890/AT4G23690/AT5G10280/AT3G19450/AT5G48930/AT3G44540/AT5G13930/AT2G37360/AT4G34050/AT1G04220/AT3G16920/AT5G60020/AT3G44550/AT4G17785/AT4G38620/AT3G11430/AT5G58860/AT2G28470/AT2G38080/AT5G23190/AT3G12900/AT1G61810/AT2G37040/AT4G22680/AT4G33790/AT5G13580/AT5G41040/AT4G31940/AT5G66390,0.801215574617779,GO:BP,phenylpropanoid biosynthetic process,2.0152141207450263e-05,True,"""The chemical reactions and pathways resulting in the formation of aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",118.0,52.0,6.0,32365.0,0.1153846153846153,0.0508474576271186,query_1,"['GO:0009698', 'GO:0044550']","['AT5G66390', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730']","[['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",2,2
GO:0009809,lignin biosynthetic process,7.0,4.473353293154032e-05,0.0027711651017374,lignin biosynthetic process,54.0,-0.529866913756145,-1.62530301789284,0.0009122891965663,0.0153249870681263,0.0092231482242271,5007.0,"tags=54%, list=15%, signal=45%",AT3G16340/AT3G27190/AT1G63910/AT2G21890/AT5G03260/AT1G07890/AT1G12840/AT4G34230/AT5G16600/AT1G80820/AT1G66230/AT1G05850/AT5G13420/AT1G15950/AT2G28670/AT5G54160/AT4G12350/AT1G61590/AT4G01070/AT2G40890/AT3G19450/AT5G48930/AT4G34050/AT3G16920/AT5G60020/AT2G38080/AT1G61810/AT4G22680/AT5G66390,0.477270815362862,,,,,,,,,,,,,,,,2,2
GO:0010089,xylem development,10.0,0.0005301043311697,0.0184141504511587,xylem development,45.0,-0.519002649284308,-1.57384793282326,0.0031816897180833,0.0390734597205635,0.023515863930852,4051.0,"tags=44%, list=13%, signal=39%",AT5G19530/AT2G13820/AT3G21710/AT5G56780/AT5G13180/AT4G08150/AT3G24770/AT1G62990/AT4G13195/AT1G29950/AT4G03210/AT2G45420/AT2G28250/AT1G64625/AT4G14940/AT5G61480/AT1G09540/AT1G62700/AT1G22740/AT1G71930,0.431707695803346,,,,,,,,,,,,,,,,2,2
GO:0016567,protein ubiquitination,311.0,3.2757357367224536e-05,0.0027711651017374,protein ubiquitination,363.0,-0.415048032723501,-1.43408948594545,9.13689645401232e-07,9.51607765685383e-05,5.7271301014644e-05,13858.0,"tags=61%, list=43%, signal=35%",AT1G15165/AT1G79810/AT4G02570/AT3G48150/AT3G55380/AT3G45630/AT1G17145/AT2G02560/AT3G26750/AT1G61620/AT3G17000/AT2G42260/AT1G14200/AT5G53300/AT3G47990/AT3G05545/AT1G27840/AT3G55530/AT2G47090/AT3G51770/AT5G25560/AT1G64840/AT4G21530/AT1G45050/AT1G54150/AT4G38600/AT1G47056/AT2G42620/AT2G29840/AT5G15820/AT1G74770/AT3G09770/AT2G39090/AT2G44578/AT5G45360/AT5G46210/AT1G73177/AT1G29340/AT4G11370/AT1G78420/AT1G43140/AT1G26830/AT1G70660/AT2G16740/AT1G19750/AT5G05080/AT5G50870/AT2G40640/AT5G37890/AT3G53410/AT3G13550/AT1G02330/AT4G02890/AT2G17310/AT5G10650/AT2G39100/AT4G14220/AT2G39760/AT3G57860/AT5G58787/AT2G18290/AT3G20060/AT5G01520/AT1G71020/AT3G19950/AT1G49780/AT3G29270/AT4G17905/AT5G20620/AT5G42200/AT4G05320/AT1G76260/AT2G36060/AT5G64330/AT3G26744/AT5G41700/AT5G56150/AT4G10180/AT3G01650/AT3G48070/AT1G05180/AT5G20910/AT3G46510/AT5G59550/AT3G06330/AT1G64230/AT4G30940/AT1G20780/AT5G15400/AT2G41980/AT3G46460/AT3G47160/AT2G40830/AT5G24040/AT3G58030/AT1G63170/AT3G61180/AT1G17280/AT3G62970/AT2G19430/AT3G06140/AT1G14400/AT1G24440/AT3G16320/AT3G53090/AT1G16890/AT5G62540/AT1G20540/AT5G19080/AT5G65200/AT1G21410/AT1G53930/AT5G53360/AT2G22680/AT1G19660/AT5G42990/AT1G69670/AT1G14260/AT5G63520/AT5G03200/AT2G35635/AT5G37640/AT1G78870/AT1G31340/AT1G76920/AT1G66040/AT2G23140/AT1G65350/AT1G75380/AT3G08505/AT2G02760/AT4G22820/AT1G63900/AT3G46620/AT3G54850/AT1G63800/AT1G23260/AT5G50430/AT2G37150/AT3G13430/AT4G27880/AT4G11680/AT5G20885/AT2G44680/AT2G39720/AT2G17030/AT5G01720/AT1G27910/AT4G33565/AT1G65430/AT2G35930/AT3G58040/AT3G15070/AT4G08980/AT3G12630/AT2G46030/AT1G12760/AT5G41340/AT1G79380/AT3G44326/AT4G25230/AT1G55530/AT3G52560/AT3G61460/AT5G01450/AT5G25760/AT1G75440/AT1G53950/AT5G51450/AT5G07270/AT4G05050/AT5G38070/AT3G47550/AT5G63970/AT5G05280/AT1G68070/AT1G63840/AT4G11360/AT5G59300/AT2G37580/AT3G03550/AT4G15563/AT3G05200/AT1G59560/AT3G07360/AT5G56340/AT1G47128/AT3G14320/AT4G27960/AT3G19380/AT1G22500/AT1G72220/AT5G03240/AT1G67800/AT5G17600/AT5G14420/AT2G01150/AT5G41400/AT1G68180/AT2G01735/AT5G62460/AT5G57740/AT4G00305/AT2G02960/AT2G44581/AT1G13195/AT4G02075/AT2G24255/AT1G23030/AT3G52450/AT3G13672/AT1G72310/AT4G21350/AT3G18710/AT3G08700/AT2G35000/AT4G28890/AT1G02340/AT2G01275/AT1G15100/AT1G60360/AT5G60060/AT2G42360,0.659444398037935,,,,,,,,,,,,,,,,2,2
GO:0019748,secondary metabolic process,,,,secondary metabolic process,242.0,-0.433451019791476,-1.47687156820963,7.57340338331817e-06,0.0004639823308074,0.0002792418545891,4770.0,"tags=40%, list=15%, signal=34%",AT2G30490/AT3G02130/AT1G31720/AT1G55270/AT3G27190/AT5G22420/AT5G65640/AT5G36180/AT1G27130/AT1G63910/AT2G21890/AT5G03260/AT1G07890/AT3G09270/AT1G12840/AT1G28680/AT3G45070/AT1G73270/AT1G22640/AT2G30860/AT4G34230/AT2G47730/AT5G16600/AT3G53510/AT1G80820/AT4G12910/AT5G17050/AT3G21230/AT1G78370/AT5G63560/AT2G30870/AT3G24503/AT3G50740/AT1G66230/AT2G29450/AT4G30530/AT1G05850/AT3G53260/AT1G32100/AT1G05250/AT2G22330/AT1G78380/AT5G13420/AT1G15950/AT3G52430/AT2G28670/AT5G54160/AT3G13610/AT4G12350/AT4G39950/AT1G61590/AT4G01070/AT1G78320/AT5G22500/AT2G40890/AT4G23690/AT1G10360/AT5G10280/AT3G19450/AT5G48930/AT3G44540/AT5G13930/AT2G37360/AT4G34050/AT1G04220/AT3G16920/AT1G51680/AT4G32980/AT5G60020/AT3G44550/AT4G17785/AT4G38620/AT3G11430/AT2G41480/AT1G53680/AT5G58860/AT1G02950/AT5G62480/AT2G28470/AT2G38080/AT1G73300/AT5G23190/AT3G12900/AT1G61810/AT1G78340/AT2G37040/AT2G23000/AT4G22680/AT1G73290/AT4G33790/AT5G13580/AT5G41040/AT3G21560/AT1G10370/AT5G17220/AT4G31940/AT5G66390,0.610526878385931,GO:BP,secondary metabolic process,2.370429271076051e-07,True,"""The chemical reactions and pathways resulting in many of the chemical changes of compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon. In multicellular organisms secondary metabolism is generally carried out in specific cell types, and may be useful for the organism as a whole. In unicellular organisms, secondary metabolism is often used for the production of antibiotics or for the utilization and acquisition of unusual nutrients."" [GOC:go_curators]",268.0,52.0,9.0,32365.0,0.173076923076923,0.0335820895522388,query_1,['GO:0008152'],"['AT5G66390', 'AT3G21560', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730', 'AT2G30210', 'AT1G10370']","[['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA']]",2,2
GO:0034330,cell junction organization,,,,cell junction organization,14.0,-0.761556574792871,-1.88713837206054,0.0001483257628664,0.0042323638911063,0.0025471942868864,1041.0,"tags=50%, list=3%, signal=48%",AT1G22610/AT1G14160/AT5G06200/AT5G15290/AT2G27370/AT3G11550/AT2G36100,0.518848077743792,GO:BP,cell junction organization,0.0003514168006569,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",11.0,52.0,3.0,32365.0,0.0576923076923076,0.2727272727272727,query_1,['GO:0016043'],"['AT2G36100', 'AT2G27370', 'AT3G11550']","[['IDA'], ['IDA'], ['IDA']]",2,2
