GO_ID,GO_term,Gene_Count,P_Value,Adjusted_P_Value
GO:0009567,double fertilization forming a zygote and endosperm,47,1.5289724736106986e-08,1.009121832583061e-05
GO:2000008,regulation of protein localization to cell surface,43,1.2129670790726337e-07,4.002791360939691e-05
GO:0080155,regulation of double fertilization forming a zygote and endosperm,46,3.157778001292499e-07,6.947111602843499e-05
GO:0055085,transmembrane transport,280,5.3747257655789535e-06,0.0008868297513205273
GO:0042744,hydrogen peroxide catabolic process,66,1.3342309179066931e-05,0.0017611848116368348
GO:0006979,response to oxidative stress,140,4.9962307642296675e-05,0.0027711651017374266
GO:0080027,response to herbivore,12,5.038482003158957e-05,0.0027711651017374266
GO:0098869,cellular oxidant detoxification,77,2.9813953134381924e-05,0.0027711651017374266
GO:0016567,protein ubiquitination,311,3.2757357367224536e-05,0.0027711651017374266
GO:0009451,RNA modification,178,3.6248476493527675e-05,0.0027711651017374266
GO:0009809,lignin biosynthetic process,7,4.473353293154032e-05,0.0027711651017374266
GO:0046777,protein autophosphorylation,31,4.260605333929393e-05,0.0027711651017374266
GO:0009682,induced systemic resistance,5,0.00014922458999865894,0.007576017646085762
GO:0010150,leaf senescence,37,0.0001935457645971536,0.009124300331008669
GO:0010555,response to mannitol,12,0.0002139074057479196,0.009411925852908462
GO:0007623,circadian rhythm,18,0.0002931395748969473,0.012092007464499076
GO:0009664,plant-type cell wall organization,20,0.0003956888241229022,0.015089422593177403
GO:0010268,brassinosteroid homeostasis,9,0.0004115297070866564,0.015089422593177403
GO:0010089,xylem development,10,0.0005301043311697215,0.018414150451158746
GO:0016192,vesicle-mediated transport,73,0.0006829642194035241,0.022537819240316295
GO:0080001,mucilage extrusion from seed coat,8,0.000917629303583508,0.02883977811262454
GO:0009805,coumarin biosynthetic process,5,0.0010264344842050893,0.03079303452615268
GO:0010447,response to acidic pH,5,0.0011201063913399134,0.03214218340366708
GO:0009853,photorespiration,18,0.001324977887776156,0.033984382284666166
GO:0120127,response to zinc ion starvation,7,0.0013066848859511226,0.033984382284666166
GO:0045292,"mRNA cis splicing, via spliceosome",28,0.0013387786960626063,0.033984382284666166
GO:0098655,monoatomic cation transmembrane transport,21,0.0014264368016164652,0.03425699449428763
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",10,0.0014533270391515966,0.03425699449428763
GO:0010098,suspensor development,14,0.0018685137844592179,0.042524796473899444
GO:0035556,intracellular signal transduction,31,0.002158823018567064,0.04749410640847541
GO:0098838,folate transmembrane transport,9,0.0024288877095289484,0.05171180284803568
GO:0042742,defense response to bacterium,107,0.002986471138245241,0.057898921036487166
GO:0015918,sterol transport,11,0.0028173632667604157,0.057898921036487166
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,57,0.0030703973276925015,0.057898921036487166
GO:0009753,response to jasmonic acid,33,0.00301427201964268,0.057898921036487166
GO:0032259,methylation,27,0.0033688217825213703,0.058511115170108007
GO:0016042,lipid catabolic process,13,0.0032830728147788444,0.058511115170108007
GO:0006886,intracellular protein transport,92,0.003324802239307887,0.058511115170108007
GO:0032922,circadian regulation of gene expression,5,0.0038770041579757235,0.06397056860659944
GO:0009414,response to water deprivation,92,0.00378514118662921,0.06397056860659944
GO:0015706,nitrate transmembrane transport,15,0.004199119745593564,0.06759558614857931
GO:0009749,response to glucose,20,0.005296102623269027,0.08322446979422758
GO:1901653,cellular response to peptide,6,0.005932890967268295,0.08697090880303182
GO:0007165,signal transduction,334,0.006061608795362825,0.08697090880303182
GO:0006351,DNA-templated transcription,102,0.005701189252217563,0.08697090880303182
GO:0031167,rRNA methylation,5,0.005818472088048084,0.08697090880303182
GO:0008643,carbohydrate transport,15,0.007043932758054266,0.0989148004322514
GO:0006506,GPI anchor biosynthetic process,17,0.007194399313146188,0.09892299055576009
GO:0007034,vacuolar transport,9,0.007876670940855817,0.1060939351217314
GO:0009827,plant-type cell wall modification,40,0.009841753698089588,0.10825929067898546
GO:0009617,response to bacterium,83,0.009598937127474793,0.10825929067898546
GO:0009751,response to salicylic acid,43,0.008806454710068131,0.10825929067898546
GO:0010119,regulation of stomatal movement,7,0.009410397721267469,0.10825929067898546
GO:0015979,photosynthesis,15,0.008621280003658001,0.10825929067898546
GO:0009723,response to ethylene,17,0.009487183702726616,0.10825929067898546
GO:0045892,negative regulation of DNA-templated transcription,66,0.009386566064659192,0.10825929067898546
GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,40,0.008488432583452426,0.10825929067898546
